title,artist,key,youtube_url,cifra_url,ritmo,letter,source
A BOA PARTE,FHOP MUSIC,MI,https://youtu.be/dlGOiuxSzVw?si=i4GDOYoqWlFj4-e6,,Lento,A,lista_semestral
A alegria esta no coração,,MI,https://www.youtube.com/watch?v=FnnmK-hOXEM,CIFRA DA IGREJA,Rápido,A,"catalogo, lista_semestral"
A colheita,Alda Célia,DÓ,,,,A,catalogo
A começar em mim,m 1,MI,,,,A,catalogo
A última hora 2 Cantor,Cristão,,,,,A,catalogo
Aclame ao Senhor,,LÁ,,,,A,catalogo
Adorador por excelência,Nani Azevedo,SOL,,,,A,catalogo
Aguas Cristalinas,Vencedores por Cristo,SOL,,,,A,catalogo
Aguas purificadoras,Diante do Trono,RÉ,https://www.youtube.com/watch?v=XUDifaNsjtA,https://www.cifraclub.com.br/diante-do-trono/aguas-purificadoras/,Lento,A,"catalogo, lista_semestral"
Ajuntamento,Iphalpha,,https://youtu.be/x1h5h1VWN6Y?si=OhxWvCfTpL1owixp,https://www.cifraclub.com.br/ipalpha/ajuntamento/,Lento,A,lista_semestral
Ajuntamento 5,,,,,,A,catalogo
Aleluia! Hosana,Toque no Altar,,https://www.youtube.com/watch?v=Og9740F1Hw0,https://www.cifraclub.com.br/toque-no-altar/aleluia-hosana/,Rápido,A,lista_semestral
Alfa e ômega,Eli Soares,RÉ,https://www.youtube.com/watch?v=Xwe1KyDKtz0,,,A,"catalogo, lista_semestral"
Aliança,,DÓ,,,,A,catalogo
Aliança de sangue,,RÉ/DÓ,,,,A,catalogo
Alto preço,,SOL,,,,A,catalogo
Alvo mais que a neve,,DÓ,,,,A,catalogo
Amar ao próximo 1 Daniel,Costa,,,,,A,catalogo
Amigo de Deus,Ademar Campos,RÉ,https://www.youtube.com/watch?v=d-meRD4YsFg,https://www.cifraclub.com.br/adhemar-de-campos/amigo-de-deus/,Lento ou compasso rápido.,A,"catalogo, lista_semestral"
Andam de pé procurando,,,,,,A,catalogo
Antífona,Cantor Cristão,DÓ,https://youtu.be/yEmPxAF6uZo?si=-_qQ7kxs1cuVnRmy,,,A,lista_semestral
Ao único,,DÓ,,,,A,catalogo
Até os Confins da Terra,Adoração e Adoradores,,https://youtu.be/gqkytZz8Pys?si=b874dDc2fZmmAstw,https://www.cifraclub.com.br/adoracao-e-adoradores/ate-os-confins-da-terra/,Médio,A,lista_semestral
Até que Ele venha,,RÉ,,,,A,catalogo
Autor da minha fé,nha fé,MI,,,,A,catalogo
Autor da minha fé,Grupo Logos,,https://youtu.be/l_4YjO4FHA8,https://www.cifraclub.com.br/grupo-logos/autor-da-minha-fe/,Médio,A,lista_semestral
Bem mais que tudo,Aline Barros,SOL,,,,B,catalogo
Bem querer 2 8,,,,,,B,catalogo
Bondade de Deus,Isaias,,https://youtu.be/ScEN3eh-bnE?si=uw_LIqxOGnJlaG_a,https://www.cifraclub.com.br/isaias-saad/bondade-de-deus/,Lento,B,lista_semestral
Buscar,me - eis,RÉ,,,,B,catalogo
Busquem a Jesus,Arautos do Rei,,https://youtu.be/dm024GGxP24?si=x71Q_bNPy4itppOb,https://www.cifraclub.com.br/arautos-do-rei/busquem-jesus/,Lento,B,lista_semestral
Busquem a Jesus 4 Arautos do Rei,,,,,,B,catalogo
Calvário,,,,,,C,catalogo
Caminho,Deserto,DÓ,,,,C,catalogo
Caminho no Deserto,Nívea Soares,,https://www.youtube.com/watch?v=n3qTisl_Unk,https://www.cifraclub.com.br/soraya-moraes/caminho-no-deserto/,Médio,C,lista_semestral
Canta m'alma,,DÓ,,,,C,catalogo
Canta m'nha alma,IBAB celebração,,https://www.youtube.com/watch?v=YK75fAxe_eo,https://www.cifraclub.com.br/ibab-louvor-canta-minhalma-a-ti-senhor/canta-minha-alma-a-ti-senhor/Rápido,,C,lista_semestral
Cantai ao,Senhor,SOL,,,,C,catalogo
Canção de Pedro,Daniel Ludtcke,,https://youtu.be/tGh2lRGDYlM?si=0n7h_1dHRQtekFqT,https://www.cifraclub.com.br/daniel-ludtke/cancao-de-pedro/,Lento,C,lista_semestral
Carvalhos de,Justiça,SOL,,,,C,catalogo
Carvalhos de Justiça,Hagios,,https://www.youtube.com/watch?v=7VSkahjpuOM,https://www.cifraclub.com.br/grupo-hagios/carvalhos-de-justica/,,C,lista_semestral
Casa de Deus,Aline Barros,DÓ,,,,C,catalogo
Casa de benção,,,,,,C,catalogo
Castelo Forte,Igreja do projeto Sola,,https://youtu.be/RGCzQjFKk2w?si=YUKZ9ChES8qvtE8r,https://www.cifraclub.com.br/ipalpha/castelo-forte/,Rápido (Compasso),C,lista_semestral
Celebrai,,,,,,C,catalogo
Celebrai com,Júbilo,MI,,,,C,catalogo
Chamada,Final,,,,,C,catalogo
Cheiro das águas,,,,,,C,catalogo
Colisão,,RÉ,,,,C,catalogo
Colossenses 1,Projeto Sola,,https://www.youtube.com/watch?v=gk7XWCMwO94,https://www.cifraclub.com.br/projeto-sola/colossenses-1/,Lento,C,lista_semestral
Colossensses 1 Projeto,aDÓ,SOL,,,,C,catalogo
Com,Alegria,MI,,,,C,catalogo
Comunhão e adoração,,RÉ,,,,C,catalogo
Conexão Daniel,CostaRÉ,,,,,C,catalogo
Confissão,Daniel Ludtke,,https://www.youtube.com/watch?v=2H3VSEMj0lY,https://www.cifraclub.com.br/daniel-ludtke/confissao/,Lento,C,lista_semestral
Confissão Daniel,LudckeLÁ,,,,,C,catalogo
Conheci um grande,igo LÁ,AM,,,,C,catalogo
Conheci um mundo mau,,RÉ,,,,C,catalogo
Consagração,,SOL,,,,C,catalogo
Consolador,,,,,,C,catalogo
Contempla a,Deus,,,,,C,catalogo
Convite a,Liberdade,,,,,C,catalogo
Coração,Puro,RÉ,,,,C,catalogo
Coração igual ao teu,,DÓ,,,,C,catalogo
Corpo e,milia LÁ,FA,,,,C,catalogo
Cria em,m DÓ,MI,,,,C,catalogo
Cristo exaltado,,,,,,C,catalogo
Cristo é a resposta,Jessé,MI,,,,C,catalogo
De todas as tribos Vencedores por,Cristo,,,,,D,catalogo
Deixa Deus trabalhar,,,,,,D,catalogo
Deixa Jesus encher tua vida,,,,,,D,catalogo
Deixa Tudo Alex,GonzagaAnálise,,,,,D,catalogo
Depois da Cruz Aline,Barros,,,,,D,catalogo
Deus Fiel Diante do,TronoAnálise,,,,,D,catalogo
Deus chama todos os povos,,,,,,D,catalogo
Deus de,lagres Diante do Trono,MI,,,,D,catalogo
Deus somente Deus,Versão: Paulo César Baruk,,https://www.youtube.com/watch?v=PjUgDnrsfkU,https://www.cifraclub.com.br/paulo-cesar-baruk/deus-somente-deus/,Lento,D,lista_semestral
Deus somente Deus Vencedores por,Cristo,,,,,D,catalogo
Diante da Cruz,Aline Barros,,https://www.youtube.com/watch?v=Uo_0wr_iXJg,https://www.cifraclub.com.br/aline-barros/diante-da-cruz/,Lento,D,lista_semestral
Diante da Cruz Aline,Barros,,,,,D,catalogo
Digno é o Senhor,Aline Barros,,https://youtu.be/ptqPgzAbpGc?si=UQ4DtZmV2JDdtRqv,https://www.cifraclub.com.br/aline-barros/digno-o-senhor--/,Lento,D,lista_semestral
Digno é o Senhor Aline,Barros,,,,,D,catalogo
Digno és Comunidade vila da penha,,,,,,D,catalogo
Dom de,ar Igreja Batista Nova jerusalémMI,AM,,,,D,catalogo
Eis me aqui,,,,,,E,catalogo
Eis que vem João,Alexandre,,,,,E,catalogo
Ele continua sendo bom,,,,,,E,catalogo
Ele é exaltado Adhemar de,Campos,,,,,E,catalogo
"Em espirito, Em verdade",Cantor Cristão,,https://youtu.be/yDU_-KpSFts?si=4_yZqKCnLAn-VaxZ,https://www.cifraclub.com.br/harpa-crista/em-espirito-em-verdade/,Lento,E,"catalogo, lista_semestral"
Em tua presença,,,,,,E,catalogo
Ensina,me,,,,,E,catalogo
Entre nós Projeto,a,SOL,,,,E,catalogo
Então se vera Vencedores por,Cristo,,,,,E,catalogo
Esconderijo,Daniel Ludtke,,https://youtu.be/t57OAYGPhAM?si=U7T0PtWLgWTA6iBn,https://www.cifraclub.com.br/daniel-ludtke/esconderijo/,Lento,E,lista_semestral
Esconderijo Daniel,Ludcke,,,,,E,catalogo
Espirito de,Deus,,,,,E,catalogo
Espirito enche a,nha vida,MI,,,,E,catalogo
Essência da adoração,,,,,,E,catalogo
Essência de Deus,João Alexandre,,https://www.youtube.com/watch?v=tQDFU_1VqPM,https://www.cifraclub.com.br/joao-alexandre/essencia-de-deus/,Lento,E,lista_semestral
Essência de Deus João,Alexandre,,,,,E,catalogo
Estrela da,Manhã,,,,,E,catalogo
Eu creio que tudo é possível,,,,,,E,catalogo
Eu e,nha casa serviremos ao senhor - Davi Sacer,MI,,,,E,catalogo
Eu na biblia,Creio,,,,,E,catalogo
Eu te Busco,Vineyard,,,,,E,catalogo
Eu te Louvarei,,,https://youtu.be/_xVuItEPVQE?si=kxkWWQs49WJUBgOm,https://www.cifraclub.com.br/ronaldo-bezerra/eu-te-louvarei/,Rápido,E,lista_semestral
Eu te louvarei ROnaldo,Bezerra,,,,,E,catalogo
Eu vou Fernanda,Brum,,,,,E,catalogo
Evangelho,188 cantor cristão,,,,,E,catalogo
Excelsa,Graça,RÉ,,,,E,catalogo
Excelsa Graça,,,https://www.youtube.com/watch?v=wCj9-s8RlmQ,https://www.cifraclub.com.br/igreja-batista-manacial/excelsa-graca/,Lento,E,lista_semestral
Familia Daniel,Costa,,,,,F,catalogo
Família Regis,Danese,,,,,F,catalogo
Faz chover,Fernandinho,,,,,F,catalogo
Faz chover Chris,Duran,,,,,F,catalogo
Felicidade no serviço,Cristão,,,,,F,catalogo
Firme nas promessas,,,,,,F,catalogo
Fonte de,Vida,,,,,F,catalogo
Frente a Frente,Logos,,,,,F,catalogo
Glorificando a,Deus,,,,,G,catalogo
Glorificar Projeto,a,SOL,,,,G,catalogo
Glória pra sempre,Rudinei,,,,,G,catalogo
Grande Deus Luizinho IPB,,,,,,G,catalogo
Grande é o Senhor Adhemar de,Campos,,,,,G,catalogo
Grandioso és Tu,Fernandinho,,https://www.youtube.com/watch?v=lUO7eRhMYNkVERSÃO,,,G,"catalogo, lista_semestral"
Graças te damos,,,,,,G,catalogo
Guarda a tua fé Aline,Barros,,,,,G,catalogo
Gênesis Projeto,a,SOL,,,,G,catalogo
Há um lugar Eloísa,Rosa,,,,,H,catalogo
Igreja,Alerta,,,,,I,catalogo
Imenso,or Aline Barros,AM,,,,I,catalogo
Incomparável,Comunidade Zona Sul,,https://youtu.be/9u_LVgvn9is?si=rODFLz629DvXQys6,https://www.cifraclub.com.br/comunidade-da-zona-sul/incomparavel/,Lento,I,lista_semestral
Incomparável Diante do,Trono,,,,,I,catalogo
Infinitamente mais,,,,,,I,catalogo
Isaias 53 Projeto,a,SOL,,,,I,catalogo
Isso é,or Vocal Livre,AM,,,,I,catalogo
Jesus,Virá,,,,,J,catalogo
Jesus Cristo mudou meu viver,,,https://www.youtube.com/watch?v=-MjXpua8s-U/,,,J,"catalogo, lista_semestral"
Jesus Virá,,SOL,https://www.youtube.com/watch?v=UjbnFguo3nU,CIFRA DA IGREJA,Médio,J,lista_semestral
Jesus a luz do mundo,Ministério Atitude,,https://youtu.be/Fj33o4smy6g?si=O1mp4vHxcSF25aBU,https://www.cifraclub.com.br/igreja-batista-atitude-central-da-barra/jesus-a-luz-do-mundo/Rápido,,J,lista_semestral
Jesus em tua presença,,,,,,J,catalogo
Jesus te entronizamos,,,,,,J,catalogo
Lampada para meus pésDaniel Lud,,,,,,L,catalogo
Leão de,Judá,,,,,L,catalogo
Logo Eu Raquel,Novaes,,,,,L,catalogo
Louvado Seja Davi,Sacer,,,,,L,catalogo
Louvarei a,Senhor,,,,,L,catalogo
Louvemos ao,Senhor,,,,,L,catalogo
Lugares Altos Diante do,Trono,,,,,L,catalogo
Luz do mundo Daniel,Ludcke,,,,,L,catalogo
Luz na escuridão,,,,,,L,catalogo
Mais que emoção,,,,,,M,catalogo
Maranata,Avivah,,https://youtu.be/_ITRDUYQEtg?si=VVdk7HOQmcruuoJf,https://www.cifraclub.com.br/ministerio-avivah/maranata/,Médio,M,"catalogo, lista_semestral"
Maravilhoso,,,,,,M,catalogo
Marcas de,Cristo,,,,,M,catalogo
Me derramar( Eis,me - aqui) Vineyard,MI,https://youtu.be/v3UEm63kJ3s?si=0318yMMomrUzW0cG,,Lento,M,lista_semestral
Mente e Coração Vencedores por,Cristo,,,,,M,catalogo
Meu prazer,"Em espirito, em verdade",,,,,M,catalogo
Meu universo PG,,,,,,M,catalogo
Minha alma engradeceAsaph,Borba,,,,,M,catalogo
Missão,,,,,,M,catalogo
Motivo da,nha cançãoMarcos Góes,MI,,,,M,catalogo
Motivos sem fim pra cantar,Comunidade da Vila,,https://youtu.be/CYXutugJL4o?si=rLa4fYsO1TZeITBO,https://www.cifraclub.com.br/comunidade-da-vila/motivos-sem-fim-pra-cantar/Médio,,M,lista_semestral
Mão no,Arado,,,,,M,catalogo
Na Cruz amaste a mim,Vineyard,,https://youtu.be/0BROTS7IvdQ?si=rDZJTdtetPRnsJGE,https://www.cifraclub.com.br/vineyard/na-cruz-amaste-a-mim/,Lento,N,lista_semestral
Nada além do,SangueFernandinho,,,,,N,catalogo
Nas estrelas Vencedores por,Cristo,,,,,N,catalogo
Nasceu o Redentor Cantor,Cristão,,,,,N,catalogo
Nenhuma condenação há,,,https://youtu.be/JKzCMjXnUwE,https://www.cifraclub.com.br/armando-filho/nenhuma-condenacao-ha/,Lento,N,lista_semestral
Nenhuma condenação háEli,Soares,,,,,N,catalogo
Nossa,Justificação,,,,,N,catalogo
Nossas Vidas em paz,,,,,,N,catalogo
Nosso Deus é,Soberano,,,,,N,catalogo
Nova Vida Igreja,Getsemani,,,,,N,catalogo
Não temas Grupo logos,,,,,,N,catalogo
Não tenhas sobre Ti,,,,,,N,catalogo
Não tenho palavras Diante do,Trono,,,,,N,catalogo
O Cheiro das águas,,,,,,O,catalogo
O Evangelho Grupo,Logos,,,,,O,catalogo
O Nosso general,,,,,,O,catalogo
O meu querer Paulo César,Baruk,,,,,O,catalogo
O nosso general é Cristo,,AM,https://youtu.be/dS35Xhf2UeI?si=nrEN_BawzK2eSiqP,,Rápido,O,lista_semestral
O que eu poderia te dar,,,https://youtu.be/IW3XgltydtI,https://www.cifraclub.com.br/vineyard/o-que-eu-poderia-te-dar/,Lento,O,lista_semestral
O que eu poderia te darVineyard,,,,,,O,catalogo
O véu se rasgou,,,,,,O,catalogo
Obrigado,Deus,,,,,O,catalogo
Obrigado Jesus Alda,Célia,,,,,O,catalogo
Oferta de,or,AM,,,,O,catalogo
Oh quão lindo esse nome é,Ana Nóbrega (Versão),,https://youtu.be/V-n0FDCT2N4,https://www.cifraclub.com.br/ana-nobrega/oh-quao-lindo-esse-nome-/,Lento,O,"catalogo, lista_semestral"
Olhando para Cristo Cantor,Cristão,,,,,O,catalogo
Ordem de,Deus,,,,,O,catalogo
Os meus,bios te louvamDaniel Lucke,LÁ,,,,O,catalogo
Os que confiam no senhor,,,,,,O,catalogo
Ousado,or Isaias,AM,,,,O,catalogo
Pai abre meu coração,,,,,,P,catalogo
Para onde for irei Cantor,Cristão,,,,,P,catalogo
Paraíso Marcos,Brito,,,,,P,catalogo
Pelo poder do teu,orAline Barros,AM,,,,P,catalogo
Perdão e Graça,Vineyard,,https://youtu.be/3saFpwTqcQ0,https://www.cifraclub.com.br/vineyard-acustico/perdao-e-graca/,Lento,P,"catalogo, lista_semestral"
Perto quero estar/Telouvarei,,,,,,P,catalogo
Pescador,Logos,,,,,P,catalogo
